adlibId,categoryId
1,1
1,2
2,2
2,3
2,4
3,5
3,6
3,7
4,2
4,5
5,8
5,9
5,10
6,2
6,11
6,12
7,4
7,13
7,14
8,2
8,15
9,8
9,10
10,12
10,16
10,17
11,2
11,18
12,2
12,12
12,19
13,20
13,21
14,1
14,14
14,22
15,14
15,22
15,23
16,24
16,25
16,26
17,1
17,2
17,27
18,28
18,29
18,30
19,2
19,8
19,12
20,2
20,25
20,31
21,2
21,32
21,33
22,1
22,2
22,12
23,21
23,34
24,2
24,5
24,18
25,2
25,35
26,21
26,36
27,22
27,37
27,38
28,39
28,40
28,41
29,2
29,12
29,42
30,2
30,18
31,43
31,44
31,45
32,2
32,32
32,43
33,46
33,47
33,48
34,29
34,49
34,50
35,8
35,51
35,52
35,53
36,49
36,52
36,54
37,1
37,34
37,55
38,46
38,56
38,57
39,21
39,39
40,18
40,44
40,58
41,1
41,39
41,59
42,52
42,60
43,62
43,63
43,64
44,2
44,18
45,65
45,66
46,39
46,57
47,2
47,18
47,67
48,2
48,12
48,19
49,2
49,12
49,68
50,1
50,33
50,69
51,2
51,25
51,67
52,2
52,32
52,70
53,21
53,57
54,34
54,71
54,72
55,2
55,4
55,57
56,2
56,12
56,73
57,34
57,74
58,1
58,61
58,75
59,2
59,18
60,2
60,18
61,1
61,8
61,76
62,2
62,18
63,77
63,78
63,79
64,2
64,18
65,1
65,2
65,8
66,14
66,66
66,80
67,10
67,56
67,81
68,2
68,56
68,82
69,2
69,25
69,83
70,2
70,25
71,2
71,18
71,84
72,39
72,85
73,2
73,12
73,86
74,56
74,87
74,88
75,89
75,90
75,91
76,2
76,4
76,92
77,10
77,34
77,55
78,1
78,93
78,94
79,19
79,95
80,12
80,96
80,97
81,1
81,22
81,98
82,21
82,61
82,99
83,32
83,100
83,101
84,2
84,21
84,102
84,103
85,1
85,74
85,104
86,39
86,57
86,105
87,2
87,5
87,66
88,8
88,50
89,2
89,18
90,1
90,26
90,42
91,57
91,106
92,2
92,66
93,56
93,107
93,108
94,2
94,79
95,2
95,10
95,21
96,43
96,109
96,110
96,111
97,1
97,74
97,112
98,21
98,53
98,76
99,1
99,2
99,113
100,114
100,115
100,116
101,39
101,57
101,59
102,52
102,61
103,2
103,12
103,35
104,117
104,118
104,119
104,120
104,121
104,122
105,2
105,123
105,124
106,2
106,114
107,2
107,18
107,26
108,10
108,125
108,126
109,2
109,26
109,127
110,2
110,18
111,2
111,21
111,75
112,25
112,95
112,129
113,2
113,18
114,32
114,92
115,2
115,66
115,130
116,1
116,2
116,131
117,2
117,4
117,132
118,2
118,4
118,70
119,32
119,65
119,72
120,4
120,133
120,134
121,6
121,33
121,39
122,2
122,18
123,21
123,63
124,75
124,94
124,135
125,21
125,75
125,136
126,2
126,12
126,18
127,2
127,66
128,14
128,57
129,2
129,12
129,66
130,2
130,21
131,21
131,37
131,79
132,2
132,18
132,114
133,65
133,66
133,137
134,2
134,66
134,137
135,2
135,8
135,66
136,57
136,105
137,2
137,65
137,138
138,1
138,39
138,57
139,39
139,59
140,2
140,18
140,35
141,2
141,21
141,26
142,2
142,66
143,2
143,32
143,66
144,21
144,63
145,21
145,139
146,8
146,63
147,21
147,140
147,141
148,14
148,21
148,63
149,2
149,18
149,84
150,26
150,68
150,114
151,19
151,63
152,2
152,21
152,56
153,2
153,66
154,2
154,142
155,2
155,26
155,66
156,21
156,32
156,57
157,4
157,13
157,57
158,2
158,12
158,26
158,114
159,2
159,66
160,18
160,25
160,66
161,1
161,57
162,2
162,18
162,84
163,2
163,66
164,2
164,18
164,39
165,2
165,25
165,31
166,57
166,143
167,18
167,105
167,144
168,46
168,57
168,74
169,2
169,66
170,2
170,18
170,145
171,10
171,19
171,75
172,2
172,63
173,34
173,55
173,105
174,2
174,19
174,146
175,1
175,147
175,148
176,25
176,40
176,149
177,2
177,66
177,150
178,2
178,66
178,75
179,1
179,2
179,12
180,2
180,11
180,33
181,2
181,32
182,65
182,66
182,70
183,19
183,63
184,2
184,18
185,2
185,66
186,2
186,66
186,151
187,119
187,120
187,121
187,122
188,21
188,140
189,19
189,140
190,2
190,18
190,19
191,2
191,18
192,2
192,25
192,152
193,2
193,83
193,151
194,2
194,18
194,153
195,3
195,4
195,65
196,119
196,120
197,2
197,152
197,154
198,79
198,141
199,2
199,25
200,2
200,25
200,26
201,2
201,18
202,37
202,75
202,79
203,2
203,66
203,75
204,32
204,57
205,57
205,155
206,36
206,156
207,2
207,107
208,32
208,157
208,158
209,39
209,57
209,155
210,2
210,34
211,61
211,76
211,159
212,9
212,160
213,54
213,57
213,161
214,21
214,89
215,21
215,162
216,21
216,65
216,66
217,2
217,8
217,21
218,21
218,164
219,2
219,12
219,165
220,61
220,76
220,117
221,2
221,66
221,114
222,8
222,21
222,63
223,61
223,76
223,166
224,49
224,167
225,1
225,79
225,168
226,2
226,66
226,75
227,2
227,18
227,84
228,61
228,76
228,129
229,37
229,79
229,169
230,2
230,8
230,132
231,8
231,94
231,171
231,172
232,2
232,21
233,1
233,2
233,13
234,21
234,34
235,2
235,18
235,173
236,2
236,12
236,174
237,2
237,25
238,2
238,25
238,31
239,2
239,68
239,114
240,2
240,18
241,2
241,66
241,68
242,2
242,18
243,2
243,18
243,84
244,2
244,25
244,114
245,2
245,18
246,2
246,175
246,176
247,2
247,25
247,31
248,1
248,42
248,69
248,177
249,2
249,114
250,18
250,34
250,178
251,2
251,18
252,2
252,18
253,2
253,18
254,13
254,57
254,180
255,2
255,66
255,137
256,2
256,18
256,84
257,75
257,79
257,96
258,21
258,181
259,2
259,25
259,31
260,19
260,181
260,182
261,21
261,38
261,181
262,75
262,95
262,183
263,2
263,31
263,83
264,34
264,94
264,184
265,12
265,99
266,29
266,75
266,79
267,1
267,2
267,12
268,2
268,43
268,66
269,76
269,185
269,186
269,187
270,39
270,135
270,188
271,184
271,189
272,2
272,25
272,31
273,2
273,19
273,96
274,2
274,18
275,2
275,12
275,190
276,1
276,2
276,25
277,2
277,18
277,66
278,2
278,12
278,18
279,34
279,49
280,2
280,178
281,2
281,18
282,2
282,66
282,191
283,2
283,192
284,2
284,18
284,193
285,2
285,25
285,66
286,2
286,18
286,194
287,1
287,2
288,2
288,25
289,2
289,25
289,152
290,2
290,12
290,18
291,2
291,18
292,13
292,80
292,195
293,2
293,12
293,152
294,2
294,25
294,152
295,2
295,21
296,2
296,34
296,66
297,2
297,66
297,68
298,10
298,196
299,2
299,32
300,21
300,74
300,197
301,2
301,193
301,198
302,2
302,113
302,114
303,2
303,32
303,66
304,2
304,66
304,68
305,1
305,42
305,199
306,2
306,18
306,21
307,14
307,22
307,169
308,2
308,25
308,31
309,2
309,35
310,1
310,2
310,109
311,2
311,10
311,18
312,2
312,25
313,2
313,8
313,25
314,1
314,74
314,94
315,2
315,12
315,25
316,2
316,5
316,18
317,21
317,76
318,2
318,12
318,26
319,4
319,105
320,2
320,12
320,200
321,2
321,175
321,176
322,21
322,43
322,201
323,119
323,120
324,12
324,73
324,202
325,21
325,66
325,68
326,2
326,11
326,66
327,2
327,25
327,31
328,21
328,203
329,10
329,21
329,204
330,21
330,61
330,76
331,1
331,75
331,79
332,2
332,63
332,66
333,1
333,79
334,21
334,68
334,205
335,2
335,32
336,19
336,63
337,29
337,34
337,71
338,14
338,114
338,206
339,2
339,12
339,96
340,2
340,12
340,207
341,76
341,208
341,209
342,76
342,77
342,208
343,2
343,25
343,66
344,2
344,32
345,66
345,75
345,137
346,76
346,210
346,211
347,1
347,113
347,212
348,1
348,76
348,79
349,8
349,75
349,213
350,2
350,18
350,84
351,57
351,143
351,214
352,21
352,76
353,2
353,127
353,183
353,199
354,57
354,94
354,215
355,21
355,213
356,11
356,188
357,21
357,55
357,216
358,2
358,12
358,18
359,2
359,18
360,10
360,217
360,218
360,219
361,19
361,220
362,19
362,76
362,180
363,36
363,221
363,222
364,2
364,18
365,73
365,181
366,73
366,223
366,224
367,73
367,223
367,225
368,73
368,226
368,227
369,2
369,8
369,12
370,73
370,223
370,228
371,73
371,223
371,228
372,73
372,181
373,73
373,229
374,73
374,223
374,225
375,12
375,18
375,26
375,230
376,73
376,231
377,38
377,75
377,79
378,78
378,79
378,213
379,8
379,10
379,191
380,79
380,213
381,78
381,79
381,213
382,213
382,232
383,12
383,99
383,233
384,2
384,12
384,25
385,10
385,95
385,234
386,2
386,12
386,147
387,2
387,65
387,66
388,21
388,75
389,2
389,18
389,84
390,34
390,71
390,174
391,2
391,12
391,235
392,26
392,163
392,213
393,1
393,26
393,146
394,19
394,163
394,213
395,2
395,67
395,236
396,21
396,36
396,237
397,89
397,238
397,239
398,2
398,25
398,152
399,12
399,76
399,103
400,12
400,21
400,148
401,2
401,66
402,8
402,29
402,40
403,8
403,240
404,1
404,2
404,8
405,2
405,8
405,18
406,2
406,114
406,241
407,2
407,84
407,242
408,2
408,38
408,66
409,2
409,25
409,31
410,6
410,39
410,243
411,21
411,244
412,2
412,25
412,152
413,8
413,37
413,79
414,1
414,2
414,26
415,9
415,21
415,79
416,57
416,105
417,2
417,18
418,2
418,12
418,25
419,2
419,26
419,113
419,245
420,18
420,157
420,207
421,10
421,246
422,10
422,247
423,12
423,73
424,21
424,73
424,248
425,13
425,39
425,249
426,2
426,4
426,5
427,13
427,65
427,250
428,13
428,65
428,250
429,57
429,203
429,251
430,13
430,54
430,65
430,252
431,2
431,114
431,253
432,24
432,64
432,254
433,195
433,255
434,49
434,256
434,257
435,105
435,258
435,259
436,2
436,6
436,34
437,18
437,164
438,18
438,34
439,26
439,100
439,260
440,26
440,100
440,261
441,2
441,18
441,193
442,1
442,2
442,114
443,2
443,56
443,262
444,2
444,66
445,2
445,19
445,34
446,21
446,34
447,34
447,66
447,263
448,2
448,43
448,66
449,1
449,2
449,12
450,2
450,25
450,114
451,119
451,120
451,121
451,264
452,1
452,2
452,100
453,24
453,40
453,131
454,2
454,66
454,265
455,2
455,35
455,86
456,25
456,146
456,191
457,2
457,18
457,193
458,2
458,18
458,84
459,2
459,66
460,2
460,8
460,132
461,2
461,18
461,193
462,94
462,266
463,2
463,18
464,61
464,79
465,12
465,18
465,198
466,1
466,2
466,12
467,2
467,5
467,18
468,1
468,2
468,215
469,14
469,186
469,267
470,39
470,57
471,14
471,186
471,267
472,2
472,66
473,12
473,14
474,10
474,65
474,66
475,10
475,19
475,66
476,2
476,114
476,269
477,12
477,25
477,270
478,1
478,2
479,2
479,12
479,271
480,1
480,79
481,21
481,79
482,75
482,79
482,96
483,2
483,12
483,79
484,12
484,66
484,163
485,2
485,12
485,66
485,137
486,12
486,66
486,163
487,66
487,68
487,163
488,25
488,95
488,131
489,79
489,272
490,2
490,114
490,273
491,2
491,75
491,113
492,10
492,66
492,75
493,1
493,49
494,65
494,66
494,137
495,2
495,18
496,12
496,19
496,274
497,2
497,12
497,66
498,1
498,2
499,21
499,76
499,275
500,2
500,18
500,84
501,2
501,176
501,276
502,2
502,56
502,107
503,2
503,66
503,152
504,2
504,18
504,84
505,2
505,18
505,84
506,2
506,66
507,2
507,152
507,277
508,2
508,25
508,152
509,2
509,19
509,215
510,32
510,144
510,278
511,2
511,18
512,2
512,31
512,114
513,2
513,18
513,84
514,119
514,120
514,121
514,122
515,2
515,67
516,8
516,12
516,19
516,274
517,2
517,12
517,166
517,279
518,2
518,8
518,10
519,10
519,21
519,43
520,6
520,65
520,66
521,2
521,11
521,66
522,2
522,100
523,21
523,79
524,2
524,280
524,281
525,2
525,65
525,66
526,2
526,18
527,2
527,32
527,105
528,2
528,4
529,75
529,282
529,283
530,65
530,66
530,137
531,105
531,157
532,1
532,26
533,2
533,26
534,2
534,114
534,141
535,49
535,55
535,284
536,1
536,10
536,285
537,1
537,2
537,12
538,2
538,175
538,176
539,66
540,2
540,18
541,2
541,152
541,286
542,1
542,27
542,42
543,65
543,66
543,287
544,189
544,288
544,289
545,2
545,82
546,49
546,191
547,61
547,75
548,2
548,25
548,113
549,2
549,25
549,31
550,74
550,79
550,290
551,2
551,25
552,26
552,40
552,61
552,75
553,41
553,291
554,2
554,176
554,276
554,292
555,36
555,56
556,96
556,293
556,294
557,71
557,94
557,184
558,2
558,18
559,21
559,163
560,2
560,12
560,295
561,2
561,151
561,152
562,114
562,214
562,296
563,6
563,68
563,94
564,2
564,66
565,2
565,114
566,12
566,44
566,54
566,297
567,18
567,193
567,298
568,2
568,12
568,18
569,18
569,56
569,298
570,13
570,34
570,71
571,2
571,18
572,18
572,298
572,299
573,18
573,56
573,298
574,2
574,12
574,147
575,2
575,19
575,147
576,2
576,12
576,26
577,1
577,2
578,2
578,18
579,1
579,12
579,25
580,2
580,12
580,176
580,300
581,2
581,12
581,300
582,12
582,25
582,301
583,2
583,35
583,302
584,2
584,12
585,2
585,151
585,277
586,4
586,35
586,106
587,2
587,18
587,86
588,2
588,18
588,303
589,2
589,18
589,67
590,79
590,114
591,2
591,79
592,46
592,304
592,305
593,2
593,18
594,64
594,306
594,307
595,2
595,5
595,18
596,38
596,308
596,309
597,1
